,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Wants and Needs (feat. Lil Baby)",Drake,1309922,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
56,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1288777,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
57,"you broke me first","Tate McRae",1288083,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
58,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1259487,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
59,"My Head & My Heart","Ava Max",1253950,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
60,34+35,"Ariana Grande",1244991,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
61,"Dance Monkey","Tones And I",1237170,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
62,"GIRL LIKE ME","Black Eyed Peas",1190944,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
63,"What’s Next",Drake,1190167,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
64,"Cover Me In Sunshine",P!nk,1187054,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
65,"Roses - Imanbek Remix","SAINt JHN",1176066,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
66,"Before You Go","Lewis Capaldi",1163514,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
67,Whoopty,CJ,1158384,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
68,"Holy (feat. Chance The Rapper)","Justin Bieber",1155599,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
69,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",1123805,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
70,"WAP (feat. Megan Thee Stallion)","Cardi B",1120228,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
71,"lovely (with Khalid)","Billie Eilish",1098079,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
72,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1081689,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
73,"Another Love","Tom Odell",1069224,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
74,Heather,"Conan Gray",1064268,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
75,"Therefore I Am","Billie Eilish",1064178,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
76,Circles,"Post Malone",1063803,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
